text,subject,body,label
"Your Password Will Expire Today - Reset Now Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://appleid-verify-secure.info/reset",Your Password Will Expire Today - Reset Now,"Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://appleid-verify-secure.info/reset",1
"Your Order Has Shipped Hello, your recent order #8269 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",Your Order Has Shipped,"Hello, your recent order #8269 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",0
Thanks for Your Recent Purchase Your monthly account statement for 1430 is now available in your dashboard. Let us know if you have any questions about the charges.,Thanks for Your Recent Purchase,Your monthly account statement for 1430 is now available in your dashboard. Let us know if you have any questions about the charges.,0
"Action Required: Verify Your Account Now Dear Customer, we have detected suspicious activity on your account. Click here http://appleid-verify-secure.info/reset immediately to verify your identity or your account will be permanently suspended within 24 hours.",Action Required: Verify Your Account Now,"Dear Customer, we have detected suspicious activity on your account. Click here http://appleid-verify-secure.info/reset immediately to verify your identity or your account will be permanently suspended within 24 hours.",1
Your Payment Failed - Update Billing Info Immediately Act now! Your password expires today. Verify your credentials immediately at http://appleid-verify-secure.info/reset or you will lose access to your account.,Your Payment Failed - Update Billing Info Immediately,Act now! Your password expires today. Verify your credentials immediately at http://appleid-verify-secure.info/reset or you will lose access to your account.,1
"Final Notice: Your Package Could Not Be Delivered URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://update-account-now.xyz/login.php.",Final Notice: Your Package Could Not Be Delivered,"URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://update-account-now.xyz/login.php.",1
"Your Payment Failed - Update Billing Info Immediately Dear Customer, we have detected suspicious activity on your account. Click here http://bit.ly/3xJa9Lm immediately to verify your identity or your account will be permanently suspended within 24 hours.",Your Payment Failed - Update Billing Info Immediately,"Dear Customer, we have detected suspicious activity on your account. Click here http://bit.ly/3xJa9Lm immediately to verify your identity or your account will be permanently suspended within 24 hours.",1
Updated Company Holiday Schedule Welcome aboard! We're excited to have you join our community. Feel free to introduce yourself in the forum whenever you get a chance.,Updated Company Holiday Schedule,Welcome aboard! We're excited to have you join our community. Feel free to introduce yourself in the forum whenever you get a chance.,0
"Action Required: Verify Your Account Now Dear Customer, we have detected suspicious activity on your account. Click here http://tinyurl.com/verify-now-2024 immediately to verify your identity or your account will be permanently suspended within 24 hours.",Action Required: Verify Your Account Now,"Dear Customer, we have detected suspicious activity on your account. Click here http://tinyurl.com/verify-now-2024 immediately to verify your identity or your account will be permanently suspended within 24 hours.",1
Invoice #4521 for August Services Thank you for registering for the conference. Your confirmation number is 8141. We look forward to seeing you there.,Invoice #4521 for August Services,Thank you for registering for the conference. Your confirmation number is 8141. We look forward to seeing you there.,0
Claim Your Free iPhone Before It's Too Late This is your final notice. Failure to verify your account at http://netfl1x-billing.com/payment within 24 hours will result in permanent suspension.,Claim Your Free iPhone Before It's Too Late,This is your final notice. Failure to verify your account at http://netfl1x-billing.com/payment within 24 hours will result in permanent suspension.,1
Confirm Your Identity to Avoid Account Closure Act now! Your password expires today. Verify your credentials immediately at http://irs-refund-claim.net/form or you will lose access to your account.,Confirm Your Identity to Avoid Account Closure,Act now! Your password expires today. Verify your credentials immediately at http://irs-refund-claim.net/form or you will lose access to your account.,1
Claim Your Free iPhone Before It's Too Late Your account has been temporarily limited due to unusual activity. Please confirm your information by clicking http://secure-paypal-update.tk/login within 48 hours to restore full access.,Claim Your Free iPhone Before It's Too Late,Your account has been temporarily limited due to unusual activity. Please confirm your information by clicking http://secure-paypal-update.tk/login within 48 hours to restore full access.,1
Your Flight Itinerary for Next Week Thank you for registering for the conference. Your confirmation number is 8972. We look forward to seeing you there.,Your Flight Itinerary for Next Week,Thank you for registering for the conference. Your confirmation number is 8972. We look forward to seeing you there.,0
"Your Order Has Shipped Hi team, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Please bring your project updates.",Your Order Has Shipped,"Hi team, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Please bring your project updates.",0
Final Notice: Your Package Could Not Be Delivered We were unable to process your recent payment. Please update your billing details urgently at http://irs-refund-claim.net/form to avoid service interruption.,Final Notice: Your Package Could Not Be Delivered,We were unable to process your recent payment. Please update your billing details urgently at http://irs-refund-claim.net/form to avoid service interruption.,1
Immediate Action Needed: Verify Your Email This is your final notice. Failure to verify your account at http://appleid-verify-secure.info/reset within 24 hours will result in permanent suspension.,Immediate Action Needed: Verify Your Email,This is your final notice. Failure to verify your account at http://appleid-verify-secure.info/reset within 24 hours will result in permanent suspension.,1
You've Won a $1000 Gift Card! Your account has been temporarily limited due to unusual activity. Please confirm your information by clicking http://appleid-verify-secure.info/reset within 48 hours to restore full access.,You've Won a $1000 Gift Card!,Your account has been temporarily limited due to unusual activity. Please confirm your information by clicking http://appleid-verify-secure.info/reset within 48 hours to restore full access.,1
Your PayPal Account Has Been Limited You have 1 unclaimed reward waiting. Verify your identity at http://appleid-verify-secure.info/reset to receive your gift card before it expires tonight.,Your PayPal Account Has Been Limited,You have 1 unclaimed reward waiting. Verify your identity at http://appleid-verify-secure.info/reset to receive your gift card before it expires tonight.,1
"Congratulations! You Are Our Lucky Winner URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://irs-refund-claim.net/form.",Congratulations! You Are Our Lucky Winner,"URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://irs-refund-claim.net/form.",1
